Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"SCL","Compte Disponibilités et Utilisations (CDU)","384","Côte d'Ivoire","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","2786932","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","191","Croatie","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","1355555","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","191","Croatie","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","367873","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","192","Cuba","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","1434326","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","192","Cuba","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","1552523","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","208","Danemark","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","7349501","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","208","Danemark","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","520563","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","262","Djibouti","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","11929","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","262","Djibouti","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","141816","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","212","Dominique","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","40","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","212","Dominique","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","4553","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","818","Égypte","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","14367540","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","818","Égypte","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","20907906","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","222","El Salvador","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","936286","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","222","El Salvador","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","785391","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","784","Émirats arabes unis","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","1420447","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","784","Émirats arabes unis","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","1078690","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","218","Équateur","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","1748328","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","218","Équateur","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","1793615","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","724","Espagne","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","24370965","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","724","Espagne","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","3716906","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","233","Estonie","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","252859","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","233","Estonie","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","104792","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","748","Eswatini","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","54015","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","748","Eswatini","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","140250","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","840","États-Unis d'Amérique","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","151257822","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","840","États-Unis d'Amérique","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","27032903","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","231","Éthiopie","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","2813760","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","231","Éthiopie","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","18017443","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","643","Fédération de Russie","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","45798421","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","643","Fédération de Russie","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","17975390","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","242","Fidji","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","41134","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","242","Fidji","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","92909","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","246","Finlande","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","2133680","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","246","Finlande","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","548973","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","250","France","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","20061535","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","250","France","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","7400378","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","266","Gabon","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","33609","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","266","Gabon","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","194687","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","270","Gambie","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","18714","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","270","Gambie","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","339332","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","268","Géorgie","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","252564","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","268","Géorgie","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","554634","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","288","Ghana","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","1268529","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","288","Ghana","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","2222156","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","300","Grèce","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","3522629","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","300","Grèce","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","1062086","I","Valeur imputée"
